DATE,MEFAINUSA672N
1953-01-01,38410
1954-01-01,37320
1955-01-01,39790
1956-01-01,42350
1957-01-01,42610
1958-01-01,42540
1959-01-01,44840
1960-01-01,45830
1961-01-01,46300
1962-01-01,47620
1963-01-01,49240
1964-01-01,51270
1965-01-01,53280
1966-01-01,56110
1967-01-01,57280
1968-01-01,59950
1969-01-01,62850
1970-01-01,62680
1971-01-01,62670
1972-01-01,65540
1973-01-01,66960
1974-01-01,65270
1975-01-01,64060
1976-01-01,66080
1977-01-01,66430
1978-01-01,68510
1979-01-01,69490
1980-01-01,67170
1981-01-01,65290
1982-01-01,64440
1983-01-01,64870
1984-01-01,66960
1985-01-01,67950
1986-01-01,71000
1987-01-01,72210
1988-01-01,72380
1989-01-01,73690
1990-01-01,72610
1991-01-01,71230
1992-01-01,70690
1993-01-01,69710
1994-01-01,71580
1995-01-01,73230
1996-01-01,74310
1997-01-01,76650
1998-01-01,79300
1999-01-01,81170
2000-01-01,81520
2001-01-01,80780
2002-01-01,80210
2003-01-01,80100
2004-01-01,80190
2005-01-01,81000
2006-01-01,81820
2007-01-01,83800
2008-01-01,81060
2009-01-01,79490
2010-01-01,78600
2011-01-01,77170
2012-01-01,77280
2013-01-01,80320
2014-01-01,80600
2015-01-01,85580
2016-01-01,87240
2017-01-01,89770
2018-01-01,90900
2019-01-01,97970
2020-01-01,95080
2021-01-01,95530
2022-01-01,92750
